"RADIAL_PAYPAL_WILL_REDIRECT_MESSAGE","You will be redirected to the PayPal website."
"RADIAL_PAYPAL_API_FAILED","Unable to perform PayPal transaction. Please try again."
"RADIAL_PAYPAL_SETTLEMENT_FAILED", "The gateway did not respond to the settlement request, this request will be retried."
"RADIAL_PAYPAL_PAYMENT_CANCELED","Express Checkout and Order have been canceled"
"RADIAL_PAYPAL_ZERO_CHECKOUT_NOT_SUPPORTED","Cannot perform Zero Checkout"
"RADIAL_PAYPAL_PAYMENT_MARK_ALT_TEXT","Pay with PayPal"
"RADIAL_PAYPAL_PAYMENT_CONFIRM_FUNDS_FAILED","Unable to confirm funds"
